iter	Passed	Remaining
581	1758	1263
582	1759	1258
583	1760	1254
584	1762	1250
585	1764	1246
586	1765	1242
587	1767	1238
588	1768	1233
589	1769	1229
590	1770	1225
591	1771	1220
592	1772	1216
593	1773	1212
594	1775	1208
595	1776	1204
596	1778	1200
597	1779	1196
598	1780	1192
599	1781	1187
600	1783	1183
601	1784	1179
602	1785	1175
603	1786	1171
604	1787	1167
605	1789	1163
606	1790	1159
607	1791	1155
608	1792	1151
609	1793	1146
610	1794	1142
611	1795	1138
612	1796	1134
613	1797	1130
614	1798	1126
615	1799	1121
616	1800	1117
617	1802	1114
618	1804	1110
619	1805	1106
620	1806	1102
621	1807	1098
622	1808	1094
623	1809	1090
624	1810	1086
625	1811	1082
626	1812	1078
627	1813	1074
628	1814	1070
629	1815	1066
630	1816	1062
631	1817	1058
632	1819	1054
633	1820	1050
634	1820	1046
635	1822	1042
636	1823	1038
637	1824	1035
638	1825	1031
639	1826	1027
640	1827	1023
641	1828	1019
642	1829	1015
643	1831	1012
644	1834	1009
645	1836	1006
646	1838	1002
647	1839	999
648	1845	998
649	1847	994
650	1849	991
651	1850	987
652	1852	984
653	1853	980
654	1855	977
655	1857	973
656	1865	973
657	1867	970
658	1868	966
659	1869	963
660	1870	959
661	1871	955
662	1873	952
663	1874	948
664	1875	944
665	1882	943
666	1883	940
667	1884	936
668	1886	933
669	1887	929
670	1888	925
671	1889	922
672	1890	918
673	1891	914
674	1893	911
675	1894	907
676	1895	904
677	1896	900
678	1897	897
679	1898	893
680	1899	889
681	1900	886
682	1901	882
683	1903	879
684	1904	875
685	1904	871
686	1906	868
687	1908	865
688	1909	861
689	1910	858
690	1911	854
691	1912	851
692	1913	847
693	1914	844
694	1915	840
695	1916	836
696	1917	833
697	1918	830
698	1920	826
699	1921	823
700	1922	819
701	1923	816
702	1924	813
703	1925	809
704	1926	806
705	1927	802
706	1928	799
707	1929	795
708	1930	792
709	1931	789
710	1933	785
711	1934	782
712	1935	779
713	1936	775
714	1937	772
715	1938	768
716	1939	765
717	1940	762
718	1941	758
719	1942	755
720	1943	752
721	1945	749
722	1947	746
723	1948	742
724	1950	739
725	1951	736
726	1952	733
727	1953	729
728	1954	726
729	1955	723
730	1956	719
731	1957	716
732	1958	713
733	1960	710
734	1961	707
735	1962	703
736	1963	700
737	1964	697
738	1965	694
739	1966	691
740	1967	687
741	1968	684
742	1969	681
743	1970	678
744	1972	675
745	1973	672
746	1974	668
747	1975	665
748	1976	662
749	1978	659
750	1979	656
751	1979	652
752	1980	649
753	1981	646
754	1983	643
755	1984	640
756	1985	637
757	1987	634
758	1988	631
759	1989	628
760	1990	625
761	1991	621
762	1992	618
763	1993	615
764	1994	612
765	1995	609
766	1996	606
767	1998	603
768	2000	600
769	2001	597
770	2002	594
771	2003	591
772	2004	588
773	2005	585
774	2006	582
775	2007	579
776	2008	576
777	2009	573
778	2010	570
779	2012	567
780	2013	564
781	2014	561
782	2015	558
783	2016	555
784	2017	552
785	2018	549
786	2019	546
787	2021	543
788	2022	540
789	2023	537
790	2024	535
791	2026	532
792	2027	529
793	2027	526
794	2029	523
795	2030	520
796	2031	517
797	2032	514
798	2033	511
799	2034	508
800	2035	505
801	2036	502
802	2038	500
803	2039	497
804	2040	494
805	2041	491
806	2042	488
807	2043	485
808	2044	482
809	2045	479
810	2047	477
811	2047	474
812	2049	471
813	2051	468
814	2052	465
815	2053	463
816	2054	460
817	2055	457
818	2056	454
819	2057	451
820	2058	448
821	2059	446
822	2060	443
823	2062	440
824	2063	437
825	2064	434
826	2066	432
827	2067	429
828	2068	426
829	2069	423
830	2070	421
831	2071	418
832	2072	415
833	2073	412
834	2074	409
835	2075	407
836	2077	404
837	2078	401
838	2079	399
839	2081	396
840	2082	393
841	2083	390
842	2084	388
843	2085	385
844	2086	382
845	2087	379
846	2088	377
847	2089	374
848	2091	371
849	2092	369
850	2093	366
851	2094	363
852	2095	361
853	2096	358
854	2097	355
855	2098	353
856	2099	350
857	2100	347
858	2101	345
859	2102	342
860	2104	339
861	2106	337
862	2106	334
863	2108	331
864	2108	329
865	2109	326
866	2111	323
867	2112	321
868	2113	318
869	2114	315
870	2115	313
871	2117	310
872	2118	308
873	2119	305
874	2120	302
875	2121	300
876	2122	297
877	2123	295
878	2124	292
879	2126	289
880	2127	287
881	2128	284
882	2128	282
883	2130	279
884	2131	276
885	2132	274
886	2133	271
887	2134	269
888	2135	266
889	2136	264
890	2137	261
891	2138	258
892	2139	256
893	2141	253
894	2142	251
895	2144	248
896	2145	246
897	2146	243
898	2147	241
899	2148	238
900	2149	236
901	2151	233
